SampleID,Zip Code,Ward,Pb Bottle 1 (ppb) - First Draw,Pb Bottle 2 (ppb) - 2 mins flushing
234,48504,2,0.828,0.233
235,48503,7,0.719,0.058
236,48504,1,2.822,0.258
237,48504,8,2.867,0.744
238,48503,7,2.332,1.221
240,48503,8,4.401,1.572
241,48504,6,2.708,0.809
242,48504,6,34.13,1.71
243,48503,7,5.218,0.831
244,48503,7,15.73,3.584
245,48504,6,3.045,0.299
246,48503,7,1.1,0.3
247,48503,7,1.386,0.432
248,48504,6,0.915,0.306
249,48504,6,2.145,3.738
250,48507,8,4.056,0.378
251,48503,7,1.668,2.72
252,48503,7,7.575,1.094
253,48507,8,5.59,2.019
254,48503,5,0.708,0.303
255,48504,6,1.701,1.287
256,48504,6,1.467,0.137
258,48504,2,2.582,61.96
259,48505,2,22.08,9.262
260,48507,8,16.51,7.068
262,48507,8,56.26,1.243
263,48504,6,2.433,1.376
264,48503,7,0.5,0.5
265,48504,6,29.13,6.388
266,48505,1,12.3,0.4
267,48504,6,3.445,0.167
268,48507,9,16.49,9.018
269,48503,7,3.365,1.675
270,48503,7,1.154,0.12
271,48507,9,13.53,4.675
272,48504,6,2.229,0.84
273,48503,7,28.91,3.056
274,48503,7,6.601,0.417
275,48507,9,0.948,0.207
276,48505,3,3.484,0.306
278,48503,7,1.888,0.322
279,48503,7,13.95,8.251
280,48504,6,6.27,1.182
281,48506,7,19.12,7.968
282,48507,9,1.633,0.238
283,48503,7,1.114,0.255
284,48503,7,3.9,0.504
285,48504,1,3.521,0.321
286,48507,9,3.832,0.339
287,48505,3,3.243,0.27
289,48503,7,0.99,0.263
290,48507,9,1.203,1.626
291,48506,3,2.261,0.407
292,48503,4,16.99,3.585
293,48503,7,3.322,1.512
294,48506,4,14.33,0.323
295,48503,7,18.11,4.263
296,48503,7,12.81,1.78
298,48503,7,1.083,0.26
299,48503,7,29.59,1.843
300,48505,1,4.287,4.905
,,,,
Credits:,,,,
The FlintWaterStudy Team at Virginia Tech (lead sampling kits preparation and processing); Dr. Jeffrey Parks and Anurag Mantha for overseeing analysis,,,,
"Our collaborators who helped facilitate sampling (LeeAnne Walters, Melissa Mays, Nayyirah Shariff, Claire McClinton, Curt Guyette, Dr. Laura Sullivan, Pastors Alfred Harris, Rev. Allen Overton)",,,,
Citizens of Flint who participated in the sampling,,,,
